"CELEB1","CELEB2","STARTED","ENDED"
"Katie Couric","Jimmy Reyes","",""
"Keira Knightley","Del Synnott","",""
"Keira Knightley","Jamie Dornan","",""
"Kelly Preston","Charlie Sheen","",""
"Kelly Slater","Gisele Bündchen","",""
"Kenneth Branagh","Helena Bonham Carter","1994","1999"
"Kick Gurry","Christina Ricci","",""
"Kirsten Dunst","Jake Gyllenhaal","",""
"Kristen Bell","Dax Shepard","",""
"Kristen Bell","Kevin Mann","2002","2007"
"Lance Armstrong","Kate Hudson","",""
"Lauren Conrad","Brody Jenner","",""
"Lauren Conrad","Jason Wahler","",""
"Leonardo DiCaprio","Gisele Bündchen","2002","2005"
"Lindsay Lohan","Aaron Carter","",""
"Liv Tyler","Joaquin Phoenix","1995","1998"
"Luke Wilson","Gwyneth Paltrow","",""
"Madonna","Carlos Leon","",""
"Madonna","Dennis Rodman","",""
"Madonna","Jean-Michel Basquiat","",""
"Madonna","John Benitez","",""
"Mandy Moore","Adam Goldstein","",""
"Mandy Moore","Andy Roddick","2002","2004"
"Mandy Moore","Billy Crawford","",""
"Mandy Moore","Greg Laswell","",""
"Maria Bravo Rosado","Bruce Willis","",""
"Mariah Carey","Luis Miguel","",""
"Marilyn Monroe","John F. Kennedy","",""
"Mario Sorrenti","Kate Moss","",""
"Mark Kamins","Madonna","",""
"Mary-Louise Parker","Billy Crudup","1996","2003-11"
"Mary-Louise Parker","Jeffrey Dean Morgan","2006","2008-03"
"Matt Dillon","Cameron Diaz","1995","1998"
"Michael Vartan","Jennifer Garner","",""
"Milo Ventimiglia","Hayden Panettiere","",""
"Minka Kelly","John Mayer","",""
"Minnie Driver","Matt Damon","",""
"Natalie Portman","Devendra Banhart","",""
"Nick Jonas","Miley Cyrus","",""
"Nicolas Cage","Elizabeth Daily","",""
"Nicole Kidman","Lenny Kravitz","2003","2004"
"Nicole Richie","Adam Goldstein","2003","2005"
"Nicole Richie","Brody Jenner","",""
"Nicole Richie","Joel Madden","",""
"Niki Taylor","Keith Urban","2002","2004"
"Odessa Whitmire","Matt Damon","2001","2003"
"Orlando Bloom","Jennifer Aniston","",""
"Owen Wilson","Gina Gershon","",""
"Owen Wilson","Kate Hudson","",""
"Pamela Anderson","Bret Michaels","",""
"Pamela Anderson","Marcus Schenkenberg","",""
"Paul Sculfor","Jennifer Aniston","",""
"Paula Profit","Charlie Sheen","",""
"Penn Badgley","Blake Lively","",""
"Peter Doherty","Kate Moss","2005-09","2007-07"
"Ray J","Kim Kardashian","",""
"Reese Witherspoon","Jake Gyllenhaal","",""
"Reggie Bush","Kim Kardashian","",""
"Rich Cronin","Jennifer Love Hewitt","1999","2001"
"Rick Salomon","Paris Hilton","",""
"Robbie Williams","Nicole Kidman","",""
"Robert Sean Leonard","Gwyneth Paltrow","",""
"Robin Givens","Brad Pitt","",""
"Robin Givens","Howard Stern","",""
"Rupert Friend","Keira Knightley","",""
"Ryan Adams","Mandy Moore","",""
"Ryan Cabrera","Ashlee Simpson","",""
"Sam Giancana","Judith Exner","",""
"Samantha Ronson","Lindsay Lohan","",""
"Sarah Jessica Parker","John F. Kennedy, Jr.","",""
"Sarah Jessica Parker","Joshua Kadison","",""
"Sarah Jessica Parker","Robert Downey Jr.","1984","1991"
"Sean Combs","Jennifer Lopez","1997-08","1999-12"
"Serena Williams","Brett Ratner","",""
"Serena Williams","Common","",""
"Shalane McCall","Brad Pitt","1987","1988"
"Shana Wall","Ryan Seacrest","2003","2005"
"Shar Jackson","Kevin Federline","",""
"Sherilyn Fenn","Johnny Depp","",""
"Sheryl Crow","Lance Armstrong","",""
"Sinitta","Brad Pitt","",""
"Stephan Jenkins","Charlize Theron","1998","2001"
"Stephen Colletti","Hayden Panettiere","",""
"Stuart Townsend","Charlize Theron","",""
"Tamara Witmer","Bruce Willis","",""
"Tate Donovan","Jennifer Aniston","",""
"Terri Seymour","Simon Cowell","2002","2006"
"Thandie Newton","Brad Pitt","",""
"Tom Brady","Bridget Moynahan","",""
"Tom Brady","Gisele Bündchen","",""
"Tom Cruise","Cher","1983","1986"
"Tom Cruise","Penélope Cruz","2001","2004"
"Tom Werner","Katie Couric","2000","2004"
"Tony Ashwin Kanal","Gwen Stefani","",""
"Tony Ward","Madonna","",""
